Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
363,633.926,24.7561,-7.98834e-06,28.761,-9.98543e-09,28.761,633.926
364,633.725,24.7561,0.0337436,28.861,2.39904e-07,28.7627,633.725
365,633.525,24.7561,-7.99117e-06,28.7627,-9.98897e-09,28.7627,633.525
366,633.325,24.7561,-7.99103e-06,28.7627,-9.98879e-09,28.7627,633.325
367,633.124,24.7561,-7.99088e-06,28.7627,-9.9886e-09,28.7627,633.124
368,632.924,24.7561,0.00958588,28.8627,-9.999e-09,28.7631,632.924
369,632.724,24.7561,-7.99129e-06,28.7631,-9.98911e-09,28.7631,632.724
370,632.523,24.7561,-7.99113e-06,28.7631,-9.98894e-09,28.7631,632.523
371,632.323,24.7561,-7.991e-06,28.7631,-9.98875e-09,28.7631,632.323
372,632.123,24.7561,0.00791319,4,615.191,28.7635,632.123
373,631.922,24.7561,-7.99129e-06,28.7635,-9.98911e-09,28.7635,631.922
374,631.722,24.7561,-7.99115e-06,28.7635,-9.98893e-09,28.7635,631.722
375,631.521,24.7561,-7.991e-06,28.7635,-9.98875e-09,28.7635,631.521
376,631.321,24.7561,-7.99085e-06,28.7635,-9.98856e-09,28.7635,631.321
377,631.121,24.7561,-7.99069e-06,28.7635,-9.98837e-09,28.7635,631.121
378,630.92,24.7561,-7.99068e-06,28.7635,-9.98816e-09,28.7635,630.92
379,630.72,24.7561,-7.99036e-06,28.7635,-9.98795e-09,28.7635,630.72
380,630.52,24.7561,-7.99019e-06,28.7635,-9.98774e-09,28.7635,630.52
381,630.319,24.7561,-7.99001e-06,28.7635,-9.98751e-09,28.7635,630.319
382,630.119,24.7561,-7.98982e-06,28.7635,-9.98728e-09,28.7635,630.119
383,629.916,24.7561,2,28.8635,292.327,28.8635,629.916
384,629.711,24.7561,-7.99949e-06,28.8635,-9.99936e-09,28.8635,629.711
385,629.505,24.7561,-7.99948e-06,28.8635,-9.99936e-09,28.8635,629.505
386,629.3,24.7561,-7.99948e-06,28.8635,-9.99936e-09,28.8635,629.3
387,629.094,24.7561,-7.99948e-06,28.8635,-9.99935e-09,28.8635,629.094
388,628.889,24.7561,-7.99948e-06,28.8635,-9.99935e-09,28.8635,628.889
389,628.684,24.7561,-7.99948e-06,28.8635,-9.99935e-09,28.8635,628.684
390,628.478,24.7561,-7.99948e-06,28.8635,-9.99935e-09,28.8635,628.478
391,628.273,24.7561,-7.99948e-06,28.8635,-9.99935e-09,28.8635,628.273
392,628.068,24.7561,-7.99948e-06,28.8635,-9.99935e-09,28.8635,628.068
393,627.865,24.7561,-1.93917,28.7666,0.0385637,28.7666,627.865
394,627.664,24.7561,-7.99242e-06,28.7666,-9.99053e-09,28.7666,627.664
395,627.464,24.7561,-7.99231e-06,28.7666,-9.99039e-09,28.7666,627.464
396,627.263,24.7561,-7.9922e-06,28.7666,-9.99026e-09,28.7666,627.263
397,627.063,24.7561,-7.99209e-06,28.7666,-9.99011e-09,28.7666,627.063
398,626.862,24.7561,-7.99197e-06,28.7666,-9.98997e-09,28.7666,626.862
399,626.662,24.7561,-7.99185e-06,28.7666,-9.98982e-09,28.7666,626.662
400,626.461,24.7561,-7.99173e-06,28.7666,-9.98966e-09,28.7666,626.461
401,626.26,24.7561,-0.00301256,4,609.621,28.7664,626.26
402,626.06,24.7561,-7.99126e-06,28.7664,-9.98908e-09,28.7664,626.06
403,625.859,24.7561,-7.99112e-06,28.7664,-9.9889e-09,28.7664,625.859
404,625.659,24.7561,-7.99097e-06,28.7664,-9.98872e-09,28.7664,625.659
405,625.458,24.7561,0.00704633,4,608.48,28.7668,625.458
406,625.258,24.7561,-7.9912e-06,28.7668,-9.989e-09,28.7668,625.258
407,625.057,24.7561,-7.99105e-06,28.7668,-9.98882e-09,28.7668,625.057
